Food,URL,ExtractedPrice,PricePerAmount,ExtractedProteinPer100g,ExtractedKJPer100g,ProteinPer100g,KJPer100g,CaloriesPer100g,ProteinPer100Calorie,PoundsPer (String),PoundsPer,PerAmount,PoundsPer100g,Price,MultiplesOf100g,perEach/per100g,TotalCalories,TotalProtein,RankWeighting,TimesEaten,PoundsPer1000Calorie,Checked,Available,Ignore
BFree Stone Baked Pizza Bases 2x180g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bfree-pizza-bases-360g,ï¿½3.60,ï¿½1.00 / 100g,3.5g,1083kJ/257kcal,3.5,1083,258.8432122,1.352169898,ï¿½1.00 ,1, 100g,1,3.6,3.6,,931.8355641,12.6,,,3.863342567,,,
Innocent Super Smoothie Banana Break Apple & Banana 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/innocent-super-smoothie-up-and-oat-750ml,ï¿½4.00,53p / 100ml,0.8g,248kJ (59kcal),0.8,248,59.27342256,1.349677419,53p ,0.53, 100ml,0.53,4,7.547169811,,447.3465854,6.037735849,,,8.941612903,,,
Sainsbury's Ruby Breakfast Juice Not From Concentrate 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ruby-breakfast-juice--not-from-concentrate-1l,ï¿½1.30,13p / 100ml,0.6g,186kJ,0.6,186,44.45506692,1.349677419,13p ,0.13, 100ml,0.13,1.3,10,,444.5506692,6,,,2.924301075,,,
Graze Lemon & Blueberry Superfood Oat Square Bites with Baobab 4x30g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/graze-blueberry---lemon-flapjack-120g,ï¿½2.00,ï¿½1.66 / 100g,6.2 g,1928 kJ,6.2,1928,460.8030593,1.345477178,ï¿½1.66 ,1.66, 100g,1.66,2,1.204819277,,555.1844088,7.469879518,,,3.602406639,,,
Strong Roots Mixed Root Vegetable Fries 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/strong-rts-mixd-root-vgetable-fries-500g,ï¿½3.00,ï¿½6.00 / kg,1.7,529,1.7,529,126.4340344,1.344574669,ï¿½6.00 ,6, kg,0.6,3,5,,632.1701721,8.5,,,4.745557656,,,
Sainsbury's Hot Lime Pickle 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-lime-pickle-200g,ï¿½1.10,58p / 100g,2.4g,747kJ,2.4,747,178.5372849,1.344257028,58p ,0.58, 100g,0.58,1.1,1.896551724,,338.6051955,4.551724138,,,3.248621151,,,
Popchips Original Chips Sharing Crisps 85g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/popchips-original-chips-85,ï¿½1.80,ï¿½2.12 / 100g,5.5g,1715kJ,5.5,1715,409.8948375,1.34180758,ï¿½2.12 ,2.12, 100g,2.12,1.8,0.849056604,,348.0239186,4.669811321,,,5.172058309,,,
Popchips Sea Salt Potato Crisps 23g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/popchips-sea-salt-potato-crisps-23g,85p,ï¿½3.70 / 100g,5.5g,1715kJ,5.5,1715,409.8948375,1.34180758,ï¿½3.70 ,3.7, 100g,3.7,0.85,0.22972973,,94.16503023,1.263513514,,,9.026705539,,,
Sainsbury's Currants 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-currants-500g,ï¿½1.80,ï¿½3.60 / kg,4.1g,1279kJ,4.1,1279,305.6883365,1.34123534,ï¿½3.60 ,3.6, kg,0.36,1.8,5,,1528.441683,20.5,,,1.177670055,,,
Ugo Thrive Pumpkin & Sage Raviolini 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/ugo-thrive-pumpkin-sage-raviolini-250g,ï¿½3.00,ï¿½1.20 / 100g,2.3g,719kJ,2.3,719,171.8451243,1.338414465,ï¿½1.20 ,1.2, 100g,1.2,3,2.5,,429.6128107,5.75,,,6.983031989,,,
Nando's Garlic Peri-Peri Rub Medium 25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/nandos-garlic-peri-peri-rub-medium-25g,ï¿½1.00,ï¿½4.00 / 100g,4 g,1251 kJ /,4,1251,298.9961759,1.337809752,ï¿½4.00 ,4, 100g,4,1,0.25,,74.74904398,1,,,13.37809752,,,
Mister Free'd Cheezie Tortilla Chips Cheese 135g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mister-freed-cheezie-tortilla-chips-cheese-135g,ï¿½1.80,ï¿½1.33 / 100g,6.4g,2003kJ/478kcal,6.4,2003,478.7284895,1.336874688,ï¿½1.33 ,1.33, 100g,1.33,1.8,1.353383459,,647.9032189,8.661654135,,,2.778192711,,,
Manomasa Chipotle & Lime Tortilla Chips 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/manomasa-chipotle---lime-tortillas-160g,ï¿½2.00,ï¿½1.25 / 100g,6.7g,2097 kJ,6.7,2097,501.1950287,1.336804959,ï¿½1.25 ,1.25, 100g,1.25,2,1.6,,801.9120459,10.72,,,2.494039103,,,
Biomel Dark Chocolate Dairy Free Coconut Probiotic Drink 125ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/biomel-dark-chocolate-dairy-free-coconut-probiotic-drink-125ml,ï¿½1.20,96p / 100ml,0.6g,188kJ / 45kcal,0.6,188,44.93307839,1.335319149,96p ,0.96, 100ml,0.96,1.2,1.25,,56.16634799,0.75,,,21.36510638,,,
Blue Dragon Thai Green Curry Paste 285g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/blue-dragon-thai-green-curry-paste-285g,ï¿½2.00,70p / 100g,1.7g,533kJ/127kcal,1.7,533,127.3900574,1.334484053,70p ,0.7, 100g,0.7,2,2.857142857,,363.9715925,4.857142857,,,5.494934334,,,
Eat Real Hummus Tomato & Basil Chips 135g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/eat-real-hummus-chips-tomatobasil-135g,ï¿½1.50,ï¿½1.11 / 100g,6.4 g,2010 kJ,6.4,2010,480.4015296,1.332218905,ï¿½1.11 ,1.11, 100g,1.11,1.5,1.351351351,,649.1912563,8.648648649,,,2.310567164,,,
Patak's Korma Paste Pots 2 x 70g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pataks-the-original-korma-curry-paste-pots-2x70g,ï¿½1.00,71p / 100g,3.0g,945kJ/ 228kcal,3,945,225.8604207,1.328253968,71p ,0.71, 100g,0.71,1,1.408450704,,318.1132685,4.225352113,,,3.143534392,,,
Mccain Naked Oven Chips Straight 1.7kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccain-naked-oven-chips-sc-17kg,ï¿½2.80,ï¿½1.65 / kg,1.8,570,1.8,570,136.2332696,1.321263158,ï¿½1.65 ,1.65, kg,0.165,2.8,16.96969697,,2311.837302,30.54545455,,,1.211157895,,,
Mccain Naked Oven Chips Straight 900g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccain-naked-oven-chips-sc-900g,ï¿½1.80,ï¿½2.00 / kg,1.8,570,1.8,570,136.2332696,1.321263158,ï¿½2.00 ,2, kg,0.2,1.8,9,,1226.099426,16.2,,,1.468070175,,,
Patak's Rogan Josh Spice Paste 283g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pataks-rogan-josh-spice-paste-283g-3442821-p,ï¿½2.30,81p / 100g,3.4g,1077kJ/261kcal,3.4,1077,257.4091778,1.320854225,81p ,0.81, 100g,0.81,2.3,2.839506173,,730.9149494,9.654320988,,,3.146740947,,,
Sainsbury's Sliced Mushrooms 750g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sliced-mushrooms-750g,ï¿½1.50,ï¿½2.00 / kg,1.4g,446kJ,1.4,446,106.5965583,1.313363229,ï¿½2.00 ,2, kg,0.2,1.5,7.5,,799.4741874,10.5,,,1.876233184,,,
Sainsbury's Belgian Chocolate Torte Slices 2 Taste the Difference x85g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-belgian-chocolate-torte-slices-2-taste-the-difference-x85g,ï¿½2.80,ï¿½1.65 / 100g,5.1g,1625kJ,5.1,1625,388.3843212,1.313132308,ï¿½1.65 ,1.65, 100g,1.65,2.8,1.696969697,,659.0764239,8.654545455,,,4.248369231,,,
Sainsbury's Figs 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ready-to-eat-figs-500g,ï¿½3.30,66p / 100g,3.3g,1052kJ,3.3,1052,251.4340344,1.312471483,66p ,0.66, 100g,0.66,3.3,5,,1257.170172,16.5,,,2.624942966,,,
Sainsbury's Pecan Nuts 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-pecan-nuts-200g,ï¿½3.30,ï¿½1.65 / 100g,9.2g,2934kJ,9.2,2934,701.2428298,1.311956374,ï¿½1.65 ,1.65, 100g,1.65,3.3,2,,1402.48566,18.4,,,2.352965235,,,
Sainsbury's Mammoth Pecans 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-mammoth-pecans-100g,ï¿½2.00,ï¿½2.00 / 100g,9.2g,2934kJ,9.2,2934,701.2428298,1.311956374,ï¿½2.00 ,2, 100g,2,2,1,,701.2428298,9.2,,,2.852079073,,,
Deliciously Ella Apple Raisin & Cinnamon Oat Bars 3x50g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/deliciously-ella-apple-raisin-cinnamon-oat-bars-3x50g,ï¿½2.50,ï¿½1.67 / 100g,5.6g,1787kJ,5.6,1787,427.1032505,1.311158366,ï¿½1.67 ,1.67, 100g,1.67,2.5,1.497005988,,639.3761235,8.383233533,,,3.910061556,,,
Jus-Rol Puff Pastry Blocks x2 1kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/jus-rol-puff-pastry-block-1kg,ï¿½2.60,26p / 100g,4.9g,1564kJ,4.9,1564,373.8049713,1.31084399,26p ,0.26, 100g,0.26,2.6,10,,3738.049713,49,,,0.695549872,,,
Sainsbury's Potato Waffles x12 680g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-potato-waffles-680g,ï¿½1.25,ï¿½1.84 / kg,2.7g,868kJ,2.7,868,207.456979,1.301474654,ï¿½1.84 ,1.84, kg,0.184,1.25,6.793478261,,1409.354477,18.3423913,,,0.886930876,,,
Sainsbury's Ready Salted Crisps 12x25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ready-salted-crisps-14x25g,ï¿½1.50,50p / 100g,6.7g,2158kJ,6.7,2158,515.7743786,1.299017609,50p ,0.5, 100g,0.5,1.5,3,,1547.323136,20.1,,,0.969416126,,,
Sainsbury's Ready Salted Crisps 6x25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ready-salted-crisps-6x25g,85p,57p / 100g,6.7g,2158kJ,6.7,2158,515.7743786,1.299017609,57p ,0.57, 100g,0.57,0.85,1.49122807,,769.1372312,9.99122807,,,1.105134384,,,
Mccain Home Chips Chips Crinkle 1.6kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccain-home-chips-cc-16kg,ï¿½3.30,ï¿½2.06 / kg,1.9,613,1.9,613,146.5105163,1.296835237,ï¿½2.06 ,2.06, kg,0.206,3.3,16.01941748,,2347.013124,30.4368932,,,1.406042414,,,
McCain Home Chips Crinkle 1kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccain-home-chips-cc-1kg,ï¿½2.30,ï¿½2.30 / kg,1.9,613,1.9,613,146.5105163,1.296835237,ï¿½2.30 ,2.3, kg,0.23,2.3,10,,1465.105163,19,,,1.569853181,,,
Yutaka Japanese-Style Katsu Curry 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/yutaka-japanese-style-curry-100g,ï¿½2.25,ï¿½2.25 / 100g,7g,2259kJ/540kcal,7,2259,539.9139579,1.296502877,ï¿½2.25 ,2.25, 100g,2.25,2.25,1,,539.9139579,7,,,4.167330677,,,
Califia Farms Oat Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/califia-farms-oat-drink-1l,ï¿½1.50,ï¿½1.50 / ltr,0.7g,226,0.7,226,54.01529637,1.295929204,ï¿½1.50 ,1.5, ltr,0.15,1.5,10,,540.1529637,7,,,2.77699115,,,
Jus-Rol Shortcrust Pastry Sheets 320g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/jus-rol-shortcrust-pastry-sheets-320g,ï¿½1.60,50p / 100g,5.9 g,1905 kJ,5.9,1905,455.3059273,1.295832021,50p ,0.5, 100g,0.5,1.6,3.2,,1456.978968,18.88,,,1.09816273,,,
Tyrrells Salt & Cider Vinegar 6x25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/tyrrells-salt---cider-vinegar-6x25g,ï¿½1.50,ï¿½1.20 / 100g,6.3g,2042kJ/488kcal,6.3,2042,488.0497132,1.290852106,ï¿½1.20 ,1.2, 100g,1.2,1.5,1.25,,610.0621415,7.875,,,2.458765916,,,
Dr. Oetker 54% Dark Chocolate Bar 150g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/dr-oetker-fine-cooks-dark-cooking-chocolate-150g,ï¿½1.70,ï¿½1.13 / 100g,6.5 g,2109 kJ/506 kcal,6.5,2109,504.0630975,1.2895211,ï¿½1.13 ,1.13, 100g,1.13,1.7,1.504424779,,758.325014,9.778761062,,,2.241782835,,,
Blue Dragon Thai Red Curry Kit 253g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/blue-dragon-3-step-thai-red-curry-253g,ï¿½2.70,ï¿½1.07 / 100g,2.4g,779kJ/186kcal,2.4,779,186.1854685,1.289037227,ï¿½1.07 ,1.07, 100g,1.07,2.7,2.523364486,,469.8137989,6.056074766,,,5.746957638,,,
Mockingbird Raw Press Boost Virgin Smoothie 750ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mockingbird-raw-press-boost-virgin-smoothie-750ml,ï¿½4.00,53p / 100ml,0.6g,195kJ/46kcal,0.6,195,46.60611855,1.287384615,53p ,0.53, 100ml,0.53,4,7.547169811,,351.7442909,4.528301887,,,11.37189744,,,
The Collective Plant Fudge Greek-Style Yoghurt Alternative 400g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/the-collective-plant-yoghurt-plain-400g,ï¿½1.50,37p / 100g,1.5g,488kJ/116kcal,1.5,488,116.6347992,1.286065574,37p ,0.37, 100g,0.37,1.5,4.054054054,,472.8437807,6.081081081,,,3.172295082,,,
Sainsbury's Fresh Chinese Sauce 175ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chinese-sauce-175ml,ï¿½1.00,57p / 100ml,1.3g,423kJ,1.3,423,101.0994264,1.285862884,57p ,0.57, 100ml,0.57,1,1.754385965,,177.3674147,2.280701754,,,5.638014184,,,
Plant Pioneers Lemon Cake 455g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/plant-pioneers-lemon-cake-455g,ï¿½3.50,ï¿½3.50 / ea,5.0g,1628kJ,5,1628,389.1013384,1.285012285,ï¿½3.50 ,3.5, ea,3.5,3.5,1,,389.1013384,5,,,8.995085995,,,
Sainsbury's Aromatic Korma Curry Paste 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-aromatic-korma-curry-paste-200g,ï¿½1.35,68p / 100g,1.6g,522kJ,1.6,522,124.7609943,1.282452107,68p ,0.68, 100g,0.68,1.35,1.985294118,,247.687268,3.176470588,,,5.450421456,,,
Sainsbury's Rendang Curry Paste 190g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-rendang-curry-paste-190g-7886226-p-44,ï¿½1.35,71p / 100g,1.5g,490kJ,1.5,490,117.1128107,1.280816327,71p ,0.71, 100g,0.71,1.35,1.901408451,,222.679288,2.852112676,,,6.062530612,,,
Califia Farms Oat Barista Blend 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/califia-farms-oat-barista-blend-1l,ï¿½1.50,ï¿½1.50 / ltr,0.7g,229,0.7,229,54.73231358,1.278951965,ï¿½1.50 ,1.5, ltr,0.15,1.5,10,,547.3231358,7,,,2.740611354,,,
Sainsbury's Red Thai Style Stir Fry Sauce 175ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-red-thai-style-stir-fry-sauce-190ml,ï¿½1.00,57p / 100ml,1.4g,458kJ,1.4,458,109.4646272,1.278951965,57p ,0.57, 100ml,0.57,1,1.754385965,,192.0432055,2.456140351,,,5.207161572,,,
Kallo Belgian Dark Chocolate Rice Cake Minis 4x21g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/kallo-belgian-dark-chocolate-rice-cake-minis-4x21g,ï¿½1.50,ï¿½1.79 / 100g,6.2g,2033kJ/486kcal,6.2,2033,485.8986616,1.275986227,ï¿½1.79 ,1.79, 100g,1.79,1.5,0.837988827,,407.1776494,5.195530726,,,3.683895721,,,
Thai Taste Red Curry Kit 224g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/thai-taste-red-curry-kit-224g,ï¿½2.50,ï¿½1.12 / 100g,1.7g,558 kJ/133 kcal,1.7,558,133.3652008,1.27469534,ï¿½1.12 ,1.12, 100g,1.12,2.5,2.232142857,,297.6901803,3.794642857,1,0,8.397992831,,,
Popchips Sea Salt & Vinegar Sharing Crisps 85g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/popchips-sea-salt---vinegar-chips-85g,ï¿½1.80,ï¿½2.12 / 100g,5.2g,1707kJ,5.2,1707,407.9827916,1.274563562,ï¿½2.12 ,2.12, 100g,2.12,1.8,0.849056604,,346.4004834,4.41509434,,,5.196297598,,,
Sainsbury's Salt & Vinegar Crisps 6x25g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-crisps--salt---vinegar-6x25g,85p,57p / 100g,6.5g,2136kJ,6.5,2136,510.5162524,1.273220974,57p ,0.57, 100g,0.57,0.85,1.49122807,,761.2961659,9.692982456,,,1.116516854,,,
Alpro Coconut Almond Chilled Drink 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/alpro-coconut-almond-milk-alternative-1l,ï¿½1.85,ï¿½1.85 / ltr,0.3 g,99 kJ / 24 kcal,0.3,99,23.66156788,1.267878788,ï¿½1.85 ,1.85, ltr,0.185,1.85,10,,236.6156788,3,,,7.818585859,,,
Whole Creations Dairy & Gluten Free Roasted Tomato & Basil Sheesy Pizza 275g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/whole-creations-dairy-gluten-free-roasted-tomato-basil-sheesy-pizza-275g,ï¿½3.75,ï¿½1.36 / 100g,3.2g,1059kJ,3.2,1059,253.1070746,1.264287063,ï¿½1.36 ,1.36, 100g,1.36,3.75,2.757352941,,697.9055365,8.823529412,,,5.373220019,,,
Pipers Atlas Mountains Wild Thyme & Rosemary Sharing Crisps 150g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pipers-wild-thyme-rosemary-150g,ï¿½2.50,ï¿½1.67 / 100g,6.4g,2121kJ/509kcal,6.4,2121,506.9311664,1.262498821,ï¿½1.67 ,1.67, 100g,1.67,2.5,1.497005988,,758.8789915,9.580838323,,,3.294332862,,,
Sainsbury's Mint Sauce 250ml,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-mint-sauce-250ml,75p,30p / 100ml,1.2g,398kJ,1.2,398,95.12428298,1.261507538,30p ,0.3, 100ml,0.3,0.75,2.5,,237.8107075,3,,,3.153768844,,,
Bells & Whistles Berry & Cashew Cake Slices x2 38g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/bells-whistles-berry-cashew-cake-slices-x2-38g,ï¿½1.25,ï¿½3.29 / 100g,6.2g,2063 kJ / 495 kcal,6.2,2063,493.0688337,1.257430926,ï¿½3.29 ,3.29, 100g,3.29,1.25,0.37993921,,187.336183,2.3556231,,,6.672496364,,,
Jus Rol Puff Pastry Block 500g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/jus-rol-puff-pastry-block-500g,ï¿½1.35,27p / 100g,4.8g,1603kJ,4.8,1603,383.126195,1.252850905,27p ,0.27, 100g,0.27,1.35,5,,1915.630975,24,,,0.704728634,,,
Sainsbury's Spanish Chargrilled Baby Artichokes Summer Edition 140g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-chargrilled-baby-artichokes-summer-edition-140g,ï¿½3.00,ï¿½2.14 / 100g,2.1g,702kJ,2.1,702,167.7820268,1.251623932,ï¿½2.14 ,2.14, 100g,2.14,3,1.401869159,,235.2084487,2.943925234,,,12.75464387,,,
Patak's Lime Pickle 283g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/pataks-lime-pickle-283g,ï¿½1.95,69p / 100g,2.3g,770kJ/187kcal,2.3,770,184.0344168,1.249766234,69p ,0.69, 100g,0.69,1.95,2.826086957,,520.0972649,6.5,,,3.749298701,,,
Blue Dragon 3-step Thai Green Curry 253g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/blue-dragon-3-step-thai-green-curry-253g,ï¿½2.70,ï¿½1.07 / 100g,2.4g,804kJ/192kcal,2.4,804,192.1606119,1.248955224,ï¿½1.07 ,1.07, 100g,1.07,2.7,2.523364486,,484.8912636,6.056074766,,,5.568258706,,,
McCain Crispy French Fries 900g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccain-crispy-french-fries-900g,ï¿½2.15,ï¿½2.39 / kg,2.3,772,2.3,772,184.5124283,1.246528497,ï¿½2.39 ,2.39, kg,0.239,2.15,8.9958159,,1659.839836,20.69037657,,,1.295305699,,,
McCain Crispy French Fries 1.4kg,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mccain-crispy-french-fries-14kg,ï¿½3.20,ï¿½2.29 / kg,2.3,772,2.3,772,184.5124283,1.246528497,ï¿½2.29 ,2.29, kg,0.229,3.2,13.97379913,,2578.339609,32.13973799,,,1.241108808,,,
Sainsbury's Onion Rings 125g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-onion-rings-125g,95p,76p / 100g,6.3g,2122kJ,6.3,2122,507.1701721,1.242186616,76p ,0.76, 100g,0.76,0.95,1.25,,633.9627151,7.875,,,1.498510839,,,
Sainsbury's Onion Rings 6x19g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-onion-rings-6x19g,85p,67p / 100g,6.3g,2122kJ,6.3,2122,507.1701721,1.242186616,67p ,0.67, 100g,0.67,0.85,1.268656716,,643.4248452,7.992537313,,,1.321055608,,,
Sainsbury's Ginger Snaps 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ginger-snaps-200g,45p,23p / 100g,5.7g,1920kJ,5.7,1920,458.8910134,1.242125,23p ,0.23, 100g,0.23,0.45,1.956521739,,897.8302436,11.15217391,,,0.501208333,,,
Sainsbury's Sweet Red Pepper Giant Corn 100g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-sweet-red-pepper-giant-corn-100g,ï¿½1.25,ï¿½1.25 / 100g,5.7g,1921kJ,5.7,1921,459.1300191,1.241478397,ï¿½1.25 ,1.25, 100g,1.25,1.25,1,,459.1300191,5.7,,,2.722540344,,,
Jammie Dodgers Family Pack Raspberry Biscuits x12 210g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/jammie-dodgers-twin-pack-2x140g,ï¿½1.30,62p / 100g,5.4g,1829 kJ,5.4,1829,437.1414914,1.235297977,62p ,0.62, 100g,0.62,1.3,2.096774194,,916.5869981,11.32258065,,,1.418305085,,,
Jammie Dodgers Mini Lunchpack 6x20g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/mini-jammie-dodger-lunchpack-140g,ï¿½1.00,83p / 100g,5.4g,1829 kJ,5.4,1829,437.1414914,1.235297977,83p ,0.83, 100g,0.83,1,1.204819277,,526.6764957,6.506024096,,,1.898698742,,,
Holy Moly Guacamole: Original 150g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/holy-moly-guacamole%3A-original-150g,ï¿½1.50,ï¿½1.00 / 100g,1.6g,543kJ/132kcal,1.6,543,129.7801147,1.232854512,ï¿½1.00 ,1, 100g,1,1.5,1.5,,194.6701721,2.4,,,7.7053407,,,
Sainsbury's Flame Grilled Steak Ridge Cut Crisps 6x27g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-ridged-steak-crisps-6x27g,85p,52p / 100g,6.4g,2176kJ,6.4,2176,520.0764818,1.230588235,52p ,0.52, 100g,0.52,0.85,1.634615385,,850.1250184,10.46153846,,,0.999852941,,,
Sainsbury's Baking Powder 160g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-baking-powder-160g,ï¿½1.00,ï¿½6.25 / kg,2.3g,782kJ,2.3,782,186.9024857,1.230588235,ï¿½6.25 ,6.25, kg,0.625,1,1.6,,299.0439771,3.68,,,3.34398977,,,
Sainsbury's Gourmet Sea Salt Crisps Taste the Difference 150g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-gourmet-sea-salt-crisps--taste-the-difference-150g,ï¿½1.00,67p / 100g,6.2g,2110kJ,6.2,2110,504.3021033,1.229421801,67p ,0.67, 100g,0.67,1,1.492537313,,752.6897064,9.253731343,,,1.32856872,,,
Thai Taste Green Curry Meal Kit 224g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/thai-taste-green-curry-meal-kit-224g,ï¿½2.50,ï¿½1.12 / 100g,1.6g,547 kJ/131 kcal,1.6,547,130.7361377,1.223839122,ï¿½1.12 ,1.12, 100g,1.12,2.5,2.232142857,,291.8217359,3.571428571,,,8.566873857,,,
Rhythm 108 Haznut Choc Praline Mpk 99g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rhythm-108-haznut-choc-praline-mpk-99g,ï¿½3.50,ï¿½3.54 / 100g,7g,2400KJ,7,2400,573.6137667,1.220333333,ï¿½3.54 ,3.54, 100g,3.54,3.5,0.988700565,,567.1322552,6.920903955,,,6.1714,,,
Gourmet Burger Kitchen House Relish 250g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/gourmet-burger-kitchen-house-relish-250g,ï¿½1.90,76p / 100g,1.5g,516kJ/122kcal,1.5,516,123.3269598,1.21627907,76p ,0.76, 100g,0.76,1.9,2.5,,308.3173996,3.75,,,6.16248062,,,
Rude Health Organic Barista Oat 1L,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/rude-health-oat-barista-drink-1l,ï¿½2.00,ï¿½2.00 / ltr,0.7g,241 kJ,0.7,241,57.60038241,1.21526971,ï¿½2.00 ,2, ltr,0.2,2,10,,576.0038241,7,,,3.47219917,,,
Sainsburyï¿½s Salt & Vinegar Crunchy Sticks 140g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-salt---vinegar-sticks-140g,95p,68p / 100g,5.9g,2032kJ,5.9,2032,485.6596558,1.21484252,68p ,0.68, 100g,0.68,0.95,1.397058824,,678.4951074,8.242647059,,,1.40015748,,,
Sainsbury's Tortilla Chips Chilli 200g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tortilla-chips-chilli-200g,95p,48p / 100g,5.9g,2033kJ,5.9,2033,485.8986616,1.214244958,48p ,0.48, 100g,0.48,0.95,1.979166667,,961.6744344,11.67708333,,,0.987860305,,,
Sainsbury's Tomato Ketchup SO Organic 460g,https://www.sainsburys.co.uk/shop/gb/groceries/product/details/sainsburys-tomato-ketchup--organic-460g,ï¿½1.65,36p / 100g,1.2g,414kJ,1.2,414,98.94837476,1.212753623,36p ,0.36, 100g,0.36,1.65,4.583333333,,453.5133843,5.5,,,3.63826087,,,
